# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	4522512	1080	+					dnaA		CCO03_RS00005	1482		old_locus_tag=CCO03_00005
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	4522512	1080	+	WP_087283817.1	WP_087283817.1		chromosomal replication initiator protein DnaA	dnaA		CCO03_RS00005	1482	493	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	1399	2943	+					dacB		CCO03_RS00010	1545		old_locus_tag=CCO03_00010
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	1399	2943	+	WP_087275557.1	WP_087275557.1		D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase	dacB		CCO03_RS00010	1545	514	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	3305	4453	+							CCO03_RS00015	1149		old_locus_tag=CCO03_00015
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	3305	4453	+	WP_087275561.1	WP_087275561.1		MFS transporter			CCO03_RS00015	1149	382	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	4614	5102	+							CCO03_RS00020	489		old_locus_tag=CCO03_00020
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	4614	5102	+	WP_087275563.1	WP_087275563.1		hypothetical protein			CCO03_RS00020	489	162	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	5199	6041	-							CCO03_RS00025	843		old_locus_tag=CCO03_00025
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	5199	6041	-	WP_087275566.1	WP_087275566.1		SDR family oxidoreductase			CCO03_RS00025	843	280	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	6445	7500	-							CCO03_RS00030	1056		old_locus_tag=CCO03_00030
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	6445	7500	-	WP_236903952.1	WP_236903952.1		phosphoesterase			CCO03_RS00030	1056	351	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	7966	8967	-					gap		CCO03_RS00035	1002		old_locus_tag=CCO03_00035
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	7966	8967	-	WP_087275569.1	WP_087275569.1		type I glyceraldehyde-3-phosphate dehydrogenase	gap		CCO03_RS00035	1002	333	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	9062	11653	-					gyrB		CCO03_RS00040	2592		old_locus_tag=CCO03_00040
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	9062	11653	-	WP_087275572.1	WP_087275572.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		CCO03_RS00040	2592	863	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	11803	12927	-					dnaN		CCO03_RS00045	1125		old_locus_tag=CCO03_00045
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	11803	12927	-	WP_087275575.1	WP_087275575.1		DNA polymerase III subunit beta	dnaN		CCO03_RS00045	1125	374	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	13130	15580	-							CCO03_RS00050	2451		old_locus_tag=CCO03_00050
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	13130	15580	-	WP_157667414.1	WP_157667414.1		DUF3772 domain-containing protein			CCO03_RS00050	2451	816	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	15893	16822	+							CCO03_RS00055	930		old_locus_tag=CCO03_00055
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	15893	16822	+	WP_087275581.1	WP_087275581.1		SGNH/GDSL hydrolase family protein			CCO03_RS00055	930	309	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	17289	18833	-							CCO03_RS00060	1545		old_locus_tag=CCO03_00060
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	17289	18833	-	WP_087275584.1	WP_087275584.1		acetyl-CoA hydrolase/transferase family protein			CCO03_RS00060	1545	514	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	19152	19376	+							CCO03_RS00065	225		old_locus_tag=CCO03_00065
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	19152	19376	+	WP_157667415.1	WP_157667415.1		hypothetical protein			CCO03_RS00065	225	74	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	20097	20729	-					upp		CCO03_RS00070	633		old_locus_tag=CCO03_00070
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	20097	20729	-	WP_087275590.1	WP_087275590.1		uracil phosphoribosyltransferase	upp		CCO03_RS00070	633	210	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	20953	22209	-							CCO03_RS00075	1257		old_locus_tag=CCO03_00075
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	20953	22209	-	WP_087275593.1	WP_087275593.1		D-alanyl-D-alanine carboxypeptidase			CCO03_RS00075	1257	418	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	22293	22973	-							CCO03_RS00080	681		old_locus_tag=CCO03_00080
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	22293	22973	-	WP_087275596.1	WP_087275596.1		alpha/beta hydrolase			CCO03_RS00080	681	226	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	23062	23436	-							CCO03_RS00085	375		old_locus_tag=CCO03_00085
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	23062	23436	-	WP_087283819.1	WP_087283819.1		(2Fe-2S) ferredoxin domain-containing protein			CCO03_RS00085	375	124	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	23738	24874	-							CCO03_RS00090	1137		old_locus_tag=CCO03_00090
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	23738	24874	-	WP_087275598.1	WP_087275598.1		VanZ family protein			CCO03_RS00090	1137	378	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	24895	25323	-							CCO03_RS00095	429		old_locus_tag=CCO03_00095
CDS	with_protein	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	24895	25323	-	WP_087275601.1	WP_087275601.1		CopD family protein			CCO03_RS00095	429	142	
gene	protein_coding	GCF_002158865.1	Primary Assembly	chromosome		NZ_CP021455.1	25607	26617	+					hemB		CCO03_RS00100	1011		old_locus_tag=CCO03_00100
